,City,Lat,Lng,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Date
353,esperance,-33.8667,121.9,AU,290.06,90,100,5.56,1649684810
354,baykit,61.67,96.37,RU,264.26,95,66,1.82,1649684810
355,sao joao da barra,-21.6403,-41.0511,BR,301.2,66,7,2.42,1649684697
356,nuuk,64.1835,-51.7216,GL,273.49,55,75,3.09,1649684811
357,xai-xai,-25.0519,33.6442,MZ,297.08,85,78,4.65,1649684811
358,rurrenabaque,-14.4413,-67.5278,BO,299.09,94,100,0,1649684811
359,banda aceh,5.5577,95.3222,ID,300.83,77,98,2.57,1649684812
360,uvat,59.1433,68.8953,RU,276,94,86,2.46,1649684812
361,port blair,11.6667,92.75,IN,301.17,74,40,1.54,1649684812
362,nicosia,35.1667,33.3667,CY,294.98,40,40,8.75,1649684813
363,mason city,43.1536,-93.201,US,278.33,75,0,5.14,1649684813
364,iskateley,67.6803,53.1512,RU,274.22,98,100,4.86,1649684814
365,miandrivazo,-19.5167,45.4667,MG,304.32,53,100,1.32,1649684814
366,bolungarvik,,,,,,,,
367,chunskiy,56.0815,99.6342,RU,271.31,88,100,4.4,1649684814
368,santa cruz,-17.8,-63.1667,BO,299.85,74,75,9.26,1649684815
369,geneva,41.8875,-88.3054,US,284.7,62,0,7.2,1649684660
370,manzil tamim,,,,,,,,
371,vilcun,-38.65,-72.2333,CL,278.56,79,84,0.59,1649684815
372,umm jarr,,,,,,,,
373,gol,60.7014,8.9457,NO,277.91,53,14,1.98,1649684816
374,tutoia,-2.7619,-42.2744,BR,300.26,88,92,2.92,1649684816
375,kirksville,40.1948,-92.5833,US,282.07,63,100,0.89,1649684712
376,lingao,19.9103,109.6859,CN,296.54,82,1,3.42,1649684817
377,shitanjing,39.2342,106.3439,CN,280.22,20,99,2.4,1649684817
378,airai,-8.9266,125.4092,TL,288.62,71,100,0.89,1649684817
379,doha,25.2867,51.5333,QA,309.32,46,5,6.69,1649684801
380,maningrida,-12.0667,134.2667,AU,301.04,78,100,2.75,1649684818
381,leningradskiy,69.3833,178.4167,RU,248.89,99,100,1.58,1649684818
382,kampong thum,12.7111,104.8887,KH,301.75,63,94,3.58,1649684818
383,tasiilaq,65.6145,-37.6368,GL,269.24,67,58,1.9,1649684819
